TradingDate,AAA,ACB,AGG,ANV,ASM,BCG,BCM,BID,BMP,BVH,BWE,CII,CMG,CRE,CTD,CTG,CTR,DBC,DCM,DGC,DGW,DHC,DIG,DPM,DXG,DXS,EIB,FPT,FRT,FTS,GAS,GEG,GEX,GMD,GVR,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NKG,NLG,NT2,NVL,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SAM,SBT,SCR,SCS,SHB,SJS,SSB,SSI,STB,SZC,TCB,TCH,TMS,TPB,VCB,VCG,VCI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSH
7/29/2021,14269,19169,38811,25295,8875,9117,40312,28794,41947,45504,30607,15324,20710,16981,43965,29612,62300,25357,16612,39910,39631,61844,20615,18323,17496,16099,18362,64098,21464,16850,70070,12967,19763,41650,31215,23632,17635,35862,29030,14800,32405,29090,13342,66079,25575,59482,32893,28800,14659,19640,17277,105467,53236,22254,36101,14582,79394,16214,26400,16951,60257,40162,46270,65931,10475,16924,61280,13863,16098,33037,72845,8547,15589,8945,64111,16152,62500,22639,32155,29300,25640,49072,12399,33901,16640,64175,33641,34507,31314,79507,22093,93423,8276,114400,16027,75570,19344,29590,27350,17572
7/30/2021,14269,20292,37480,24977,8737,9154,40603,28864,42248,46136,30482,15420,22145,16948,46551,30049,62200,25265,17387,39702,40062,62068,20984,19265,17743,16660,18644,64510,21464,17343,70148,12967,20346,42526,31733,24085,17793,35623,29194,14700,32543,29405,13830,66538,25838,59578,33637,28800,15575,19986,17543,110670,53661,22589,37563,14701,79394,16001,25800,16919,61318,41069,46542,67916,10525,16848,61410,13750,16011,34677,73773,8612,15759,9538,64111,16569,62800,22394,32512,29900,26249,49557,12563,35345,16784,64240,33871,35988,31390,79802,22665,95290,8467,113000,16097,74960,20450,31657,27650,17994
8/2/2021,14357,19955,38320,24523,8978,9787,40603,29882,42999,47219,31436,15564,23684,16746,46329,29481,62700,24851,17731,40367,40250,66256,20738,20057,17866,16161,18221,65608,21665,18476,73202,13171,20077,43633,31545,24211,18057,35742,28920,14800,32508,29484,13963,65161,25913,59387,33306,28000,15270,19916,17247,112487,55558,23159,36703,14781,79852,16201,25600,16762,62047,42058,46724,67774,10574,17150,63485,13901,16531,34046,71963,8796,16057,9630,64491,16271,63300,22271,32750,29300,26025,49266,12334,34074,16520,63585,33103,36060,31008,79655,22747,95557,8352,115500,16062,75308,20249,31819,27500,18332
8/3/2021,14357,20095,37900,24295,8944,10234,40603,30444,42699,47580,31934,15851,23345,17250,47659,29787,63000,24621,17947,40284,42269,66929,21189,20471,18113,15974,19068,65745,21722,19535,72810,13089,20167,44002,31733,24915,18427,36639,30892,14700,32508,29169,13830,65253,25950,59196,33844,28000,15300,20262,17277,113808,55558,23193,37348,14701,80539,16434,25500,16573,62246,41893,46452,68412,10623,17037,64523,13825,16617,34235,72056,8980,16142,9584,64918,16390,64000,22424,33644,29800,27563,50236,12596,32919,16568,64765,32719,37217,30741,81718,22665,101779,8314,116000,17423,75831,20383,32346,28300,18332
8/4/2021,14313,19927,37690,25340,9081,10494,40506,30198,42699,48573,31934,15851,23006,17654,47216,29699,64300,24713,17731,41365,42431,66555,22296,20509,17949,16598,19386,65608,21579,19708,73593,13212,20167,43403,31498,25066,18506,36340,30618,14700,32680,29563,13919,65804,26213,59100,33554,28300,15361,20539,17543,112321,55591,24265,37434,14860,82066,16434,25300,16888,62180,41976,47450,68412,10672,17037,63939,14318,16704,34046,72984,9118,15844,9630,64918,16331,63300,22639,33822,30650,27307,50430,12399,30782,16832,64568,32719,38590,31123,81423,22529,101335,8447,116200,17389,75831,20283,32427,27900,18079
8/5/2021,14534,20208,36919,26566,9219,10494,40603,30163,42699,48393,32680,15995,23475,17721,46994,29874,64300,24943,18506,41407,41731,67677,22747,21716,18648,16972,19456,66294,21407,19806,73437,13253,20346,43680,32816,25419,18744,37057,30837,14600,33575,30430,14451,65253,26513,59005,33885,28400,15881,20746,17632,111496,56572,25338,37649,15178,82447,16467,26500,17203,62180,41399,47540,67916,10623,17339,63291,14204,16661,34046,72242,9118,15844,9862,65725,17165,63300,22792,34239,31050,27948,50915,12432,30898,17216,65158,32566,40324,32230,82307,22883,101335,8676,116500,17877,75395,20719,32832,27950,18332
8/6/2021,15064,19955,36499,26157,9150,10382,43420,30128,42699,48573,31726,16426,23632,17486,48324,29830,63800,25541,18248,40659,41731,67303,23812,21866,19019,17409,19033,66294,22295,20201,72341,13499,20077,44556,32204,24815,18480,37057,31330,15300,33300,29957,14451,65070,26625,59100,34216,28450,15667,20504,17543,111083,56081,25472,37649,15019,82066,16334,27800,17077,61981,41728,47994,68200,10820,17226,63485,14090,16531,34046,72010,8980,16226,9955,64586,17284,63100,22730,33584,30300,28397,50236,12367,30667,17024,64306,32719,39312,31925,83929,22720,100712,8848,117400,17493,75918,20316,32751,27950,18543
8/9/2021,15240,20488,36429,27747,9769,10829,45460,30304,42623,48664,31809,16713,24492,17654,48694,30180,63200,26231,19496,40950,42969,67677,25247,23374,19307,18220,19139,66912,22524,21555,72810,13908,21063,45294,33146,26073,18744,38073,31385,16200,34194,30588,14495,65529,27375,58719,35001,28450,15667,20677,17632,116451,56833,26544,38336,15138,80920,16467,28800,18243,62047,43873,47994,68412,10967,17528,64782,13939,17353,35244,71963,9081,16354,10232,66247,17344,63500,22822,35311,30700,29166,50915,12399,31013,17216,64437,32489,41191,32459,86508,22883,100535,8981,119500,18157,76353,20450,33319,28600,19599
8/10/2021,15329,20488,36008,27747,9907,11573,44537,30409,42999,48212,32100,16473,24075,17755,47955,30267,64500,26323,19668,42280,43858,67527,24837,24581,19060,18220,18856,67117,23384,22073,75159,13989,22049,46585,32958,26023,18770,38372,32042,16100,33988,30548,15470,64703,26850,58337,34629,28450,15636,20504,17750,114386,56866,26712,38164,15337,79852,16801,29400,18621,61583,43873,48811,67916,11066,18133,67506,14848,17829,35244,71499,9183,16396,10093,65772,17582,64000,22577,35370,30600,28589,50721,12891,32053,17264,64896,34409,41191,32765,86213,22774,100446,8962,118700,17912,77833,20283,33440,28350,20951
8/11/2021,15020,20208,35028,26793,10285,12355,43226,30269,43450,48935,31768,16330,22640,17519,48767,29961,64600,25817,20314,41407,44154,66929,25083,26277,18278,17721,18821,65951,23785,22073,74768,13744,22049,45617,32110,25670,18717,37655,31166,15700,33678,30154,15692,64703,25800,58050,33100,28500,15392,20539,18342,112817,57226,26511,36574,15218,79317,16801,28900,18400,61583,43708,48448,67632,11262,17830,67506,14886,17742,35559,71546,9118,17543,10186,65962,17284,65100,22486,34358,30400,27820,50721,12990,33208,17743,65879,34486,39818,32077,85476,22665,98668,8791,118700,17458,79139,20517,33238,28000,20951
